id,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
1571,Friendsvow,"Digital Capital Raising, Digital Lending","Revenue / Profit Share Crowdfunding, Balance Sheet Consumer Lending, P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Debt-Based Securities, Community Shares",2011.0,2011,Private,Nigeria,United States,6,,,,Active
1572,FRISS,"Alternative Credit Analytics, WealthTech, Digital Identity","Psychometric Analytics, Sociometric Analytics, Personal Financial Management / Planning, Fraud Prevention & Risk Management, Credit Scoring",,2006,Private,Netherlands,Netherlands,51-200,,,,Active
1573,Fromlab,Digital Lending,Crowd-Led Microfinance,2013.0,2013,Private,Spain,Spain,6,,,,Active
1574,Fronted ,Digital Lending,Balance Sheet Consumer Lending,2019.0,2020,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
1575,FrontFundr,Digital Capital Raising,Equity-Based Crowdfunding,2013.0,2015,Private,Canada,Canada,30,,,,Active
1576,ftcash,Digital Lending,P2P / Marketplace Business Lending,2015.0,2015,Private,India,India,376,,,,Active
1577,FTX,"Cryptoasset Exchange, Consensus Services","Order-Book, Single Dealer Platform / OTC Trading, Advanced Trading Services, Equipment Procurement & Financing",2020.0,2019,Private,Antigua and Barbuda,United States,62,,,,Active
1578,Fu Rongbao,Digital Lending,P2P / Marketplace Business Lending,2009.0,2013,Private,China,China,10-Jan,2019.0,,,Inactive
1579,Fueladream,Digital Capital Raising,Reward-Based Crowdfunding,2015.0,2015,Private,India,India,,,,,Active
1580,Fun,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2014.0,2014,Private,"Korea, Rep.",Japan,6,,,,Active
1581,Fund That Flip,Digital Capital Raising,Real Estate Crowdfunding,2014.0,2014,Private,United States,United States,30,,,,Active
1582,Fundable,Digital Capital Raising,Equity-Based Crowdfunding,2012.0,2012,Private,United States,United States,30,,,,Active
1583,Fundary,Digital Lending,Crowd-Led Microfinance,2016.0,2016,Private,Mexico,Mexico,Nov-50,,,,Active
1584,Fundation,Digital Lending,Balance Sheet Business Lending,2011.0,2013,Private,United States,United States,176,,,,Active
1585,Fundaztic,Digital Lending,P2P / Marketplace Business Lending,2016.0,2017,Private,Malaysia,Malaysia,Nov-50,,,,Active
1586,Fundbox,"Digital Lending, InsurTech","Balance Sheet Business Lending, Digital Brokers or Agents, Invoice Trading",2013.0,2013,Private,United States,United States,51-200,,,,Active
1587,Funded,Digital Lending,P2P / Marketplace Property Lending,2015.0,2015,Private,"Korea, Rep.","Korea, Rep.",6,,,,Active
1588,FundedByMe,Digital Capital Raising,Equity-Based Crowdfunding,2011.0,2012,Private,Sweden,Sweden,76,,,,Active
1589,FundedHere,"Digital Capital Raising, Digital Lending","Equity-Based Crowdfunding, Debt-Based Securities, Mini-Bonds",2014.0,2015,Private,Singapore,Singapore,6,,,,Active
1590,Funderbeam,Digital Capital Raising,Equity-Based Crowdfunding,2013.0,2016,Private,Estonia,United Kingdom,Nov-50,,,,Active
1591,FunderNation GmbH,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2014.0,2015,Private,Germany,Germany,6,,,,Active
1592,Fundfina,"Digital Lending, Alternative Credit Analytics, Enterprise Tech Provisioning","P2P / Marketplace Business Lending, Credit Scoring, API Management",2016.0,2016,Private,India,India,Nov-50,,,,Active
1593,Fundimmo,Digital Capital Raising,Real Estate Crowdfunding,2014.0,2014,Private,France,France,30,,,,Active
1594,Funding Circle,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading, Merchant Cash-Advance",2009.0,2010,Public,United Kingdom,United Kingdom,750,2020.0,,,Inactive
1595,Funding Empire,Digital Lending,P2P / Marketplace Business Lending,2012.0,2013,Private,United Kingdom,United Kingdom,6,,,,Active
1596,Funding Societies,Digital Lending,"Invoice Trading, Balance Sheet Property Lending, Balance Sheet Business Lending, P2P / Marketplace Property Lending, P2P / Marketplace Business Lending",2015.0,2015,Private,Singapore,Singapore,201-500,,,,Active
1597,Funding Souq,Digital Lending,P2P / Marketplace Business Lending,2020.0,2020,Private,United Arab Emirates,United Arab Emirates,10-Jan,,,,Active
1598,Funding Tree,"Digital Capital Raising, Digital Lending","Equity-Based Crowdfunding, P2P / Marketplace Business Lending",2013.0,2014,Private,United Kingdom,United Kingdom,10-Jan,2019.0,,,Inactive
1599,"Funding Wonder, Inc.",Digital Lending,P2P / Marketplace Business Lending,2012.0,2012,Private,United States,United States,6,,,,Active
1600,FundingBox,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",,2013,Private,Poland,Spain,Nov-50,,,,Active
1601,FundingKnight,Digital Lending,P2P / Marketplace Business Lending,2011.0,2011,Private,United Kingdom,United Kingdom,30,,,,Active
1602,FundingPartner,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Property Lending",2016.0,2016,Private,Norway,Norway,30,,,,Active
1603,FundingSecure,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2013.0,2013,Private,United Kingdom,United Kingdom,6,,,,Active
1604,FundingX,Digital Capital Raising,Reward-Based Crowdfunding,2021.0,2021,Private,India,India,10-Jan,,,,Active
1605,FUNDit,Digital Capital Raising,Equity-Based Crowdfunding,2016.0,2016,Private,Israel,Israel,Nov-50,,,,Active
1606,Fundkiss ,Digital Lending,P2P / Marketplace Business Lending,2016.0,2019,Private,Mauritius,Mauritius,10-Jan,,,,Active
1607,Fundly,Digital Capital Raising,Donation-Based Crowdfunding,2009.0,2009,Private,Unidentified,United States,30,,,,Active
1608,Fundnel,Digital Capital Raising,Equity-Based Crowdfunding,2015.0,2014,Private,Singapore,Singapore,76,,,,Active
1609,FundPlaces,Digital Capital Raising,Real Estate Crowdfunding,2015.0,2015,Private,Singapore,Singapore,6,,,,Active
1610,FundRazr,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2008.0,2008,Private,Canada,Canada,30,,,,Active
1611,Fundrise,Digital Capital Raising,Real Estate Crowdfunding,2010.0,2016,Private,United States,United States,30,,,,Active
1612,Funds-Axis,"Enterprise Tech Provisioning, Digital Payments, RegTech","Digital Accounting, Financial Management & Business Intelligence, eMoney Issuers, Money Transfer (P2P / P2B / B2P / B2B), Regulatory Reporting",2005.0,2005,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
1613,FundsCorner,Digital Lending,"Balance Sheet Business Lending, Invoice Trading",2019.0,2017,Private,India,India,Nov-50,2021.0,,,Inactive
1614,FundsIndia,WealthTech,Digital Wealth Management,2008.0,2008,Private,India,India,201-500,,,,Active
1615,FundsTiger,"Digital Lending, Alternative Credit Analytics","P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending, Credit Scoring",2015.0,2016,Private,India,India,Nov-50,,,,Active
1616,FundThrough,Digital Lending,Invoice Trading,2014.0,2014,Private,Canada,Canada,30,,,,Active
1617,Fundu,Digital Lending,P2P / Marketplace Business Lending,2014.0,2014,Private,Finland,Finland,30,,,,Active
1618,Fundwise,Digital Capital Raising,Equity-Based Crowdfunding,2014.0,2014,Private,Estonia,Estonia,6,,,,Active
1619,FundX,Digital Lending,Balance Sheet Business Lending,2015.0,2015,Private,Australia,Australia,6,,,,Active
1620,Fuse,InsurTech,Technical Service Provider (TSP),2017.0,2017,Private,Indonesia,Indonesia,201-500,,,,Active
1621,Fuse Insurance,InsurTech,"Digital Brokers or Agents, Customer Management",2017.0,2018,Private,Canada,Canada,10-Jan,,,,Active
1622,Fusion Bank ,Digital Banks,"Fully Digitally Native Bank (Retail), Banking-as-a-Service (BaaS)",2018.0,2020,Private,"Hong Kong SAR, China","Hong Kong SAR, China",201-500,,,,Active
1623,Fusion Microfinance,"Digital Lending, InsurTech","Crowd-Led Microfinance, Balance Sheet Business Lending, Parametric-Based Insurance",1994.0,2010,Private,India,India,201-500,,,,Active
1624,Fusion$360,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, API Management, Enterprise Blockchain, AI / ML / NLP",,2016,Private,"Taiwan, China","Taiwan, China",Nov-50,,,,Active
1625,Fusion360,"WealthTech, Enterprise Tech Provisioning, Digital Payments","Digital Wealth Management, Enterprise Blockchain, Payment processor, Money Transfer (Cryptoasset), Points of Access (Cryptoasset)",2016.0,2016,Private,"Taiwan, China","Taiwan, China",Nov-50,,,,Active
1626,FutSci,Digital Capital Raising,Reward-Based Crowdfunding,2014.0,2015,Private,United Kingdom,United Kingdom,6,,,,Active
1627,Futu Holdings,Cryptoasset Exchange,Order-Book,,2011,Public,"Hong Kong SAR, China","Hong Kong SAR, China",1001-5000,,,,Active
1628,Future Finance,Digital Lending,Balance Sheet Consumer Lending,2013.0,2014,Private,Ireland,Ireland,51-200,,,,Active
1629,Future Link Technologies,"Enterprise Tech Provisioning, Digital Banks, Digital Payments","Financial Management & Business Intelligence, Banking-as-a-Service (BaaS), Payment Gateways",2005.0,2005,Private,Uganda,Uganda,51-200,,,,Active
1630,Future Wave,Digital Payments,"Mobile Money, Acquiring Services Providers for Merchants",2013.0,2013,Private,India,India,2,2019.0,,,Inactive
1631,Futuready,InsurTech,"Digital Brokers or Agents, Comparison Portal",2015.0,2016,Private,Indonesia,Indonesia,51-200,,,,Active
1632,FXBTC,Cryptoasset Exchange,Order-Book,,2013,Private,Unidentified,China,,2014.0,,,Inactive
1633,FYB-Â­SG,Cryptoasset Exchange,Order-Book,2011.0,2013,Private,Singapore,Singapore,,2019.0,,,Inactive
1634,Fyle,Enterprise Tech Provisioning,"AI / ML / NLP, API Management, Digital Accounting",2016.0,2017,Private,India,India,51-200,,,,Active
1635,Fyp ,"WealthTech, Digital Payments, Digital Banks","Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B), Agent Banking (Cash-In / Cash-Out)",2021.0,2021,Private,India,India,Nov-50,,,,Active
1636,G-Square Solutions,"RegTech, Enterprise Tech Provisioning","Risk Analytics, AI / ML / NLP, API Management, Financial Management & Business Intelligence",2014.0,2014,Private,India,India,7,,,,Active
1637,GAChain,Enterprise Tech Provisioning,Enterprise Blockchain,2017.0,2017,Private,China,China,Nov-50,,,,Active
1638,Galaxy Digital,"Cryptoasset Exchange, Consensus Services","Single Dealer Platform / OTC Trading, Institutional Brokerage Services, Advanced Trading Services, Equipment Procurement & Financing, Portfolio management, Lending / Borrowing",2006.0,2018,Public,Cayman Islands,United States,Nov-50,,,,Active
1639,GalaxyCard,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2018.0,2018,Private,India,India,Nov-50,,,,Active
1640,GamCrowd,Digital Capital Raising,Equity-Based Crowdfunding,2015.0,2014,Private,United Kingdom,United Kingdom,10-Jan,2016.0,,,Inactive
1641,GandengTangan,Digital Lending,P2P / Marketplace Business Lending,2014.0,2015,Private,Indonesia,Indonesia,,,,,Active
1642,Gate.io Exchange,Cryptoasset Exchange,"Retail Brokerage Services, Order-Book",2019.0,2021,Private,Singapore,Singapore,,,,,Active
1643,Gatecoin,Cryptoasset Exchange,Order-Book,2013.0,2014,Private,"Hong Kong SAR, China","Hong Kong SAR, China",,2019.0,,,Inactive
1644,GAW Miners,Consensus Services,"Hardware Manufacturing, Cloud Mining",2014.0,2014,Private,United States,United States,,2015.0,,,Inactive
1645,Gecko Governance,"RegTech, Enterprise Tech Provisioning","Dynamic Compliance, Profiling & Due Diligence, Regulatory Reporting, Enterprise Blockchain",2017.0,2015,Private,Ireland,Ireland,12,,,,Active
1646,Geldvoorelkaar,Digital Lending,P2P / Marketplace Business Lending,2018.0,2009,Private,Netherlands,Netherlands,51-200,,,,Active
1647,Gemini,"Cryptoasset Exchange, Digital Payments, Digital Custody","Order-Book, Single Dealer Platform / OTC Trading, Advanced Trading Services, Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), eMoney Issuers, Mobile Money, Acquiring Services Providers for Merchants, Top-ups & Refills, Asset-Backed Stablecoin, Consumer Spending, Hosted Cryptoasset Wallet, Third-Party Custody, Co-Managed Custody",2016.0,2015,Private,United States,United States,51-200,,,,Active
1648,GemPay,Digital Payments,Payment processor,2013.0,2014,Private,"Hong Kong SAR, China",China,Nov-50,2016.0,,,Inactive
1649,Gen Advisory,RegTech,"Profiling & Due Diligence, Dynamic Compliance, Regulatory Reporting, Education and Training",2018.0,2019,Private,Australia,Australia,10-Jan,,,,Active
1650,General Bytes,Cryptoasset Exchange,Bitcoin Teller Machines (BTM),2013.0,2014,Private,Czech Republic,Czech Republic,,,,,Active
1651,Genesis Coin,Cryptoasset Exchange,Bitcoin Teller Machines (BTM),2013.0,2014,Private,United States,United Kingdom,,,,,Active
1652,Genesis Global Trading,"Cryptoasset Exchange, Digital Custody","Single Dealer Platform / OTC Trading, Institutional Brokerage Services, Co-Managed Custody, Lending / Borrowing",2005.0,2015,Private,United States,United States,51-200,,,,Active
1653,Genesis Mining,Consensus Services,"Cloud Mining, Firmware & Software Development",2014.0,2014,Private,"Hong Kong SAR, China","Hong Kong SAR, China",Nov-50,,,,Active
1654,Genitrust,Digital Savings,Savings-as-a-Service (SaaS),2013.0,2012,Private,United States,United States,,,,,Active
1655,GeoPagos,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Payment Gateways, Payment Aggregators",2013.0,2013,Private,Argentina,Argentina,201-500,,,,Active
1656,Geru,Digital Lending,P2P / Marketplace Consumer Lending,2013.0,2015,Private,Brazil,Brazil,76,,,,Active
1657,Getbucks,Digital Lending,"Balance Sheet Consumer Lending, Balance Sheet Business Lending",2010.0,2010,Private,South Africa,South Africa,,,,,Active
1658,GetMeAShop,"Digital Payments, Enterprise Tech Provisioning","Payment Gateways, Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS), Financial Management & Business Intelligence, Electronic Invoicing, Cloud Computing",2013.0,2012,Private,India,India,51-200,,,,Active
1659,GetPesa,"WealthTech, Digital Lending, InsurTech","Financial Comparison Sites, P2P / Marketplace Consumer Lending, Digital Brokers or Agents",,2017,Private,Tanzania,Tanzania,10-Jan,,,,Active
1660,Getsafe,InsurTech,On-Demand Insurance,,2015,Private,Germany,Germany,51-200,,,,Active
1661,GetVantage,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2019.0,2020,Private,India,India,Nov-50,,,,Active
1662,GFA,"RegTech, Digital Identity, Enterprise Tech Provisioning","Dynamic Compliance, Profiling & Due Diligence, Fraud Prevention & Risk Management, Financial Management & Business Intelligence, Data aggregation",2014.0,2014,Private,Germany,Luxembourg,Nov-50,,,,Active
1663,GFI Fintech,"Alternative Credit Analytics, Digital Identity","Alternative Credit Rating Agency, Psychometric Analytics, Credit Scoring, KYC Solutions",2019.0,2018,Private,Malaysia,Malaysia,10-Jan,,,,Active
1664,Gharho,Digital Lending,Balance Sheet Property Lending,2020.0,2021,Public,Pakistan,Pakistan,Nov-50,,,,Active
1665,GHash.io,Consensus Services,"Cloud Mining, Pool Operation",2013.0,2013,Private,United Kingdom,United Kingdom,,2016.0,,,Inactive
1666,Gictrade,Cryptoasset Exchange,Decentralised Exchange (DEX) Relayer,2020.0,2020,Private,Indonesia,Indonesia,51-200,,,,Active
1667,Giga Watt,Consensus Services,"Cloud Mining, Proprietary Hashing",2016.0,2013,Private,United States,United States,,2018.0,,,Inactive
1668,GigaHash,Consensus Services,Cloud Mining,2015.0,2013,Private,Bulgaria,Bulgaria,,2019.0,,,Inactive
1669,gigflip,Digital Capital Raising,Reward-Based Crowdfunding,2012.0,2012,Private,Germany,Germany,6,,,,Active
1670,Gimi,"WealthTech, Digital Payments","Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B)",,2014,Private,Sweden,Sweden,Nov-50,,,,Active
1671,Giottus ,Cryptoasset Exchange,Order-Book,2017.0,2017,Private,India,India,Nov-50,,,,Active
1672,GIROMATCH GmbH,Digital Lending,P2P / Marketplace Consumer Lending,2014.0,2014,Private,Germany,Germany,30,,,,Active
1673,Givahoy,Digital Capital Raising,Donation-Based Crowdfunding,2015.0,2016,Private,New Zealand,New Zealand,10-Jan,,,,Active
1674,GiveALittle,Digital Capital Raising,Donation-Based Crowdfunding,2007.0,2007,Private,New Zealand,New Zealand,6,,,,Active
1675,GiveForward,Digital Capital Raising,Donation-Based Crowdfunding,2009.0,2010,Private,United States,United States,30,,,,Active
1676,GiveIndia,"Digital Capital Raising, RegTech","Donation-Based Crowdfunding, Profiling & Due Diligence",2000.0,2000,Non profit,India,India,51-200,,,,Active
1677,GivenGain Foundation Switzerland,Digital Capital Raising,Donation-Based Crowdfunding,2009.0,2009,Private,Switzerland,Switzerland,30,,,,Active
1678,GivingLoop,Digital Capital Raising,Donation-Based Crowdfunding,2016.0,2016,Private,United States,United States,6,,,,Active
1679,GLBSE,Cryptoasset Exchange,Order-Book,,2011,Private,Unidentified,Unidentified,8,2012.0,,,Inactive
1680,Glidera,Cryptoasset Exchange,Retail Brokerage Services,2013.0,2015,Private,United States,United States,,2016.0,,,Inactive
1681,Global PayEX,Enterprise Tech Provisioning,"Digital Accounting, Electronic Invoicing",2011.0,2011,Private,India,India,51-200,,,,Active
1682,Global Risk and Data Authority,"Digital Payments, Alternative Credit Analytics","Money Transfer (P2P / P2B / B2P / B2B), Credit Scoring",2016.0,2016,Private,Cayman Islands,Cayman Islands,,,,,Active
1683,Global Sadaqah,Digital Capital Raising,Donation-Based Crowdfunding,2018.0,2018,Private,Malaysia,Malaysia,10-Jan,,,,Active
1684,Global Shares,"Enterprise Tech Provisioning, RegTech, WealthTech","API Management, Digital Accounting, Financial Management & Business Intelligence, Cloud Computing, Electronic Invoicing, Regulatory Reporting, Market Monitoring, Social Trading, Robo-Advisors",2005.0,2005,Private,Ireland,Ireland,201-500,,,,Active
1685,GlobalMoney,Digital Payments,"Mobile Money, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Payment Gateways",2009.0,2009,Private,Ukraine,Ukraine,51-200,,,,Active
1686,globedai.com,Digital Lending,P2P / Marketplace Business Lending,2014.0,2014,Private,China,China,176,,,,Active
1687,GLS,Digital Capital Raising,"Equity-Based Crowdfunding, Capital Raising Retail Brokerage",,2017,Private,Germany,Germany,10-Jan,,,,Active
1688,Gluwa,"Digital Payments, Digital Identity, Enterprise Tech Provisioning, RegTech, Digital Lending, Cryptoasset Exchange, Digital Custody, WealthTech","Asset-Backed Stablecoin, Money Transfer (Cryptoasset), API Hubs for Payments, Fraud Prevention & Risk Management, Enterprise Blockchain, Dynamic Compliance, P2P / Marketplace Consumer Lending, Decentralised Exchange (DEX) Relayer, Unhosted Cryptoasset Wallet, Personal Financial Management / Planning",2016.0,2016,Private,United States,United States,Nov-50,,,,Active
1689,GMO Aozora Net Bank,"Digital Payments, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Fully Digitally Native Bank (Retail)",,2021,Private,Japan,Japan,,,,,Active
1690,Gnosis,"Digital Custody, Cryptoasset Exchange","Application development, Unhosted Cryptoasset Wallet, Decentralised Exchange (DEX) Relayer, Industry research",2017.0,2015,Private,Gibraltar,Germany,36,,,,Active
1691,Goals101,"Alternative Credit Analytics, RegTech, Enterprise Tech Provisioning","Psychometric Analytics, Risk Analytics, Financial Management & Business Intelligence",2016.0,2016,Private,India,India,51-200,,,,Active
1692,GoalTeller,WealthTech,"Personal Financial Management / Planning, Robo-Advisors",2020.0,2020,Private,India,India,Nov-50,,,,Active
1693,GoBear,"WealthTech, InsurTech","Personal Financial Management / Planning, Financial Comparison Sites, Comparison Portal, Digital Brokers or Agents, Lending / Borrowing",2014.0,2014,Private,Singapore,Singapore,51-200,,,,Active
1694,GoCardless,"Digital Payments, Enterprise Tech Provisioning","API Hubs for Payments, Payment Gateways, Bulk Payment Solutions, Financial Management & Business Intelligence, Electronic Invoicing",2011.0,2011,Private,United Kingdom,United Kingdom,501-1000,,,,Active
1695,GoCoin,Digital Payments,Payment processor,2013.0,2013,Private,Singapore,Singapore,,,,,Active
1696,GoCrowd,Digital Capital Raising,"Equity-Based Crowdfunding, Capital Raising Retail Brokerage, Capital Raising Institutional Brokerage",2021.0,2020,Private,Kazakhstan,Kazakhstan,10-Jan,,,,Active
1697,Godex,"Cryptoasset Exchange, Enterprise Tech Provisioning","Retail Brokerage Services, API Management",,2018,Private,Italy,Italy,501-1000,,,,Active
1698,goDutch ,"Digital Payments, WealthTech","Money Transfer (P2P / P2B / B2P / B2B), Personal Financial Management / Planning",2019.0,2020,Private,India,India,10-Jan,,,,Active
1699,GoFundAfrica,Digital Capital Raising,Donation-Based Crowdfunding,2015.0,2016,Private,Uganda,Uganda,,,,,Active
1700,GoFundMe,Digital Capital Raising,Donation-Based Crowdfunding,2010.0,2010,Non profit,United States,United States,201-500,,,,Active
1701,GogoCoin,"Digital Custody, Digital Payments","Hosted Cryptoasset Wallet, Consumer Spending",2013.0,2013,Private,United States,United States,2,2015.0,,,Inactive
1702,GoHenry,"WealthTech, Digital Banks, Digital Payments","Personal Financial Management / Planning, Agent Banking (Cash-In / Cash-Out), Money Transfer (P2P / P2B / B2P / B2B)",2017.0,2012,Private,United States,United States,201-500,,,,Active
1703,Gojek,"Digital Payments, Digital Lending, InsurTech, WealthTech","Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Points of Access (PoS / mPoS / Online PoS), Payment Aggregators, Customer Cash-Advance, On-Demand Insurance, Digital Wealth Management",2010.0,2016,Private,Indonesia,Indonesia,5001-10000,,,,Active
1704,Goldenpi,"WealthTech, Digital Lending","Robo-Advisors, Personal Financial Management / Planning, Debt-Based Securities",2017.0,2017,Private,India,India,Nov-50,,,,Active
1705,GoldMoney,Cryptoasset Exchange,Order-Book,2014.0,2014,Public,Canada,Canada,,2015.0,,,Inactive
1706,GoLend.hk,Digital Lending,P2P / Marketplace Property Lending,2013.0,2014,Private,"Hong Kong SAR, China","Hong Kong SAR, China",,,,,Active
1707,Golix,"Cryptoasset Exchange, Digital Custody","Order-Book, Single Dealer Platform / OTC Trading, Hosted Cryptoasset Wallet",2014.0,2014,Private,Zimbabwe,Zimbabwe,,2019.0,,,Inactive
1708,Good Shepherd Entertainment,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2012.0,2012,Private,Netherlands,Netherlands,6,,,,Active
1709,GoodBox,"Digital Capital Raising, Digital Payments","Donation-Based Crowdfunding, Points of Access (PoS / mPoS / Online PoS)",2016.0,2016,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
1710,GoParity,Digital Lending,P2P / Marketplace Business Lending,2015.0,2016,Private,Portugal,Portugal,6,,,,Active
1711,Gorila ,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning",2016.0,2016,Private,Brazil,Brazil,51-200,,,,Active
1712,GoSats,Cryptoasset Exchange,Retail Brokerage Services,2019.0,2020,Private,India,India,10-Jan,,,,Active
1713,Governance.com,"Enterprise Tech Provisioning, RegTech","API Management, AI / ML / NLP, Financial Management & Business Intelligence, Digital Accounting, Profiling & Due Diligence, Risk Analytics, Dynamic Compliance, Regulatory Reporting, API Interface",2011.0,2016,Private,Luxembourg,Luxembourg,Nov-50,,,,Active
1714,GPS,"Digital Payments, Digital Identity","API Hubs for Payments, Fraud Prevention & Risk Management, Application development",2007.0,2009,Private,United Arab Emirates,United Arab Emirates,51-200,,,,Active
1715,Grab,"Digital Payments, Digital Lending, InsurTech, Digital Savings, WealthTech","eMoney Issuers, Money Transfer (P2P / P2B / B2P / B2B), Payment Gateways, Digital Remittances (Domestic-P2P), Mobile Money, Points of Access (PoS / mPoS / Online PoS), Balance Sheet Business Lending, Customer Cash-Advance, On-Demand Insurance, P2P Insurance, Digital Micro Saving Solutions, Personal Financial Management / Planning",2011.0,2012,Private,Singapore,Singapore,5001-10000,,,,Active
1716,Gradana,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2016.0,2016,Private,Indonesia,Indonesia,30,,,,Active
1717,Grahaloan,Digital Lending,P2P / Marketplace Property Lending,2019.0,2019,Private,Indonesia,Indonesia,10-Jan,,,,Active
1718,GramCover,InsurTech,"Technical Service Provider (TSP), Digital Brokers or Agents",2016.0,2017,Private,India,India,Nov-50,,,,Active
1719,GRAMePAY,Enterprise Tech Provisioning,API Management,2015.0,2021,Private,India,India,10-Jan,,,,Active
1720,Grams Helix,Cryptoasset Exchange,"Aggregation, Mixing services",,2014,Private,Unidentified,Unidentified,,,,,Active
1721,Grandhood,"WealthTech, Alternative Credit Analytics, Digital Savings, Enterprise Tech Provisioning","Robo Retirement / Pension Planning, Personal Financial Management / Planning, Sociometric Analytics, Digital Savings Collective / Pool, Savings-as-a-Service (SaaS), Financial Management & Business Intelligence, Application development",2017.0,2017,Private,Denmark,Denmark,10-Jan,,,,Active
1722,GrapeCity Mongolia LLC,"Digital Payments, Enterprise Tech Provisioning, Alternative Credit Analytics","API Hubs for Payments, Payment Gateways, API Management, AI / ML / NLP, Credit Scoring",2008.0,2000,Private,Mongolia,Mongolia,51-200,,,,Active
1723,GrassRoots Bima,InsurTech,"Digital Brokers or Agents, Technical Service Provider (TSP)",,2017,Private,Unidentified,Kenya,,2018.0,,,Inactive
1724,Grath,"RegTech, Enterprise Tech Provisioning","Dynamic Compliance, Regulatory Reporting, Risk Analytics, API Management",2019.0,2019,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
1725,Graviti,"Digital Lending, Digital Payments","Customer Cash-Advance, Payment Gateways",2019.0,2020,Private,Mexico,Mexico,Nov-50,,,,Active
1726,Great North Data,Consensus Services,"Remote Hosting Services, Cloud Mining",2013.0,2013,Private,Canada,Canada,49,2019.0,,,Inactive
1727,GreatDay HR,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2018.0,2018,Private,Indonesia,Indonesia,51-200,,,,Active
1728,GREEN FUNDING,Digital Capital Raising,Reward-Based Crowdfunding,,2012,Private,Japan,Japan,,,,,Active
1729,Green Rocket GmbH,Digital Capital Raising,Equity-Based Crowdfunding,2013.0,2009,Private,Germany,Austria,Nov-50,,,,Active
1730,GreenAddress,Digital Custody,Unhosted Cryptoasset Wallet,2013.0,2014,Private,Malta,Malta,,2016.0,,,Inactive
1731,Greengage,Cryptoasset Exchange,"Single Dealer Platform / OTC Trading, Business consulting",2019.0,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
1732,Greenlight ,"Digital Banks, WealthTech, Digital Savings","Agent Banking (Cash-In / Cash-Out), Personal Financial Management / Planning, Digital Micro Saving Solutions",2016.0,2017,Private,United States,United States,201-500,,,,Active
1733,Greensill Capital,Digital Lending,"Balance Sheet Consumer Lending, Balance Sheet Business Lending",2012.0,2011,Private,United Kingdom,United Kingdom,501-1000,,,,Active
1734,GreenSky ,Digital Lending,P2P / Marketplace Consumer Lending,2006.0,2006,Public,United States,United States,1001-5000,,,,Active
1735,Greenwood,Digital Payments,eMoney Issuers,,2020,Private,United States,United States,10-Jan,,,,Active
1736,greenXmoney,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2012.0,2013,Private,Germany,Germany,10-Jan,,,,Active
1737,GREX,Digital Capital Raising,Equity-Based Crowdfunding,2014.0,2014,Private,India,India,30,,,,Active
1738,Griffin,"Digital Banks, RegTech, Digital Lending, Digital Payments","Banking-as-a-Service (BaaS), Dynamic Compliance, Balance Sheet Business Lending, Money Transfer (P2P / P2B / B2P / B2B)",2017.0,2020,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
1739,Grip,Digital Capital Raising,Reward-Based Crowdfunding,2020.0,2020,Private,India,India,Nov-50,,,,Active
