Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
Moneycatcha,RegTech,"Dynamic Compliance, Regulatory Reporting, Risk Analytics",2015,2016,Private,Australia,Australia,Nov-50,,,,Active
Moneyfarm,WealthTech,"Digital Wealth Management, Robo-Advisors, Robo Retirement / Pension Planning",2014,2012,Private,United Kingdom,United Kingdom,51-200,,,,Active
MoneyFellows,"Alternative Credit Analytics, Digital Lending","Alternative Credit Rating Agency, Credit Scoring, P2P / Marketplace Consumer Lending",,2015,Private,"Egypt, Arab Rep.","Egypt, Arab Rep.",51-200,,,,Active
Moneyhub,"Digital Payments, Enterprise Tech Provisioning, WealthTech","API Hubs for Payments, API Management, AI / ML / NLP, Personal Financial Management / Planning, Digital Wealth Management, Robo-Advisors, Data aggregation",2009,2013,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
MoneyLion,"WealthTech, Digital Lending, Digital Payments, Digital Banks","Personal Financial Management / Planning, Balance Sheet Consumer Lending, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, Fully Digitally Native Bank (Retail), Education and Training",2013,2013,Private,United States,United States,201-500,2021,,,Inactive
MoneyMatch,"Digital Payments, Digital Banks","Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Payment Gateways, Agent Banking (Cash-In / Cash-Out)",2015,2017,Private,Malaysia,Malaysia,51-200,,,,Active
Moneymax,InsurTech,Comparison Portal,2014,2014,Private,Philippines,Philippines,51-200,,,,Active
MoneyMe,Digital Lending,"Balance Sheet Consumer Lending, Customer Cash-Advance",2013,2013,Private,Australia,Australia,51-200,,,,Active
MoneyPlace,Digital Lending,P2P / Marketplace Consumer Lending,2014,2015,Private,Australia,Australia,30,,,,Active
MoneyTap,Digital Lending,Balance Sheet Consumer Lending,2015,2015,Private,India,India,51-200,,,,Active
MoneyThing,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Property Lending",2014,2015,Private,United Kingdom,United Kingdom,6,,,,Active
Moneytree33,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,China,China,376,2020,,,Inactive
moneyveo.ua,Digital Lending,Balance Sheet Consumer Lending,2013,2013,Private,Ukraine,Ukraine,501-1000,,,,Active
MONI SITE,"Digital Lending, Digital Payments, Digital Custody","Balance Sheet Consumer Lending, Top-ups & Refills, Points of Access (PoS / mPoS / Online PoS), eMoney Wallet",2013,2013,Private,United States,Argentina,Nov-50,,,,Active
Monific,Digital Capital Raising,Real Estate Crowdfunding,2018,2018,Private,Mexico,Mexico,30,,,,Active
Monisnap,Digital Payments,Digital Remittances (Cross Border-P2P),2017,2018,Private,France,France,Nov-50,,,,Active
Monkiri ,Enterprise Tech Provisioning,"AI / ML / NLP, Education and Training",2019,2020,Private,Canada,Canada,10-Jan,,,,Active
Monner,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Equity-Based Crowdfunding",2016,2016,Private,Norway,Norway,30,,,,Active
Mono,Digital Payments,"Payment Gateways, API Hubs for Payments",2021,2020,Private,Nigeria,Nigeria,Nov-50,,,,Active
Monsoon,Alternative Credit Analytics,Credit Scoring,2016,2016,Private,India,India,Nov-50,,,,Active
Monzo,"Digital Payments, Digital Savings, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P), Top-ups & Refills, Digital Micro Saving Solutions, Fully Digitally Native Bank (MSME), Fully Digitally Native Bank (Retail)",2015,2015,Private,United Kingdom,United Kingdom,1001-5000,,,,Active
Moolah,"Cryptoasset Exchange, Digital Payments","Order-Book, Payment processor",2014,2014,Private,United Kingdom,United Kingdom,,2014,,,Inactive
MoolaHoop,Digital Capital Raising,Reward-Based Crowdfunding,2012,2013,Private,United States,United States,6,,,,Active
MoolahSense,Digital Lending,P2P / Marketplace Business Lending,2013,2014,Private,Singapore,Singapore,30,,,,Active
MOON Money Online,Digital Lending,Balance Sheet Business Lending,2015,2016,Private,Argentina,Argentina,10-Jan,,,,Active
MoonPay,"Cryptoasset Exchange, Digital Payments, Digital Identity","Retail Brokerage Services, Payment processor, KYC Solutions",2019,2019,Private,United States,Unidentified,51-200,,,,Active
Moors & Cabot,"Enterprise Tech Provisioning, Digital Lending, Digital Payments, WealthTech","Financial Management & Business Intelligence, Balance Sheet Business Lending, Balance Sheet Consumer Lending, Payment Gateways, Personal Financial Management / Planning, Business consulting",1978,1890,Private,United States,United States,51-200,,,,Active
Morakot Technologies,Digital Lending,P2P / Marketplace Consumer Lending,2014,2014,Private,Cambodia,Cambodia,30,,,,Active
MorphToken,"Cryptoasset Exchange, Enterprise Tech Provisioning","Retail Brokerage Services, API Management",,2017,Private,Unidentified,Panama,,,,,Active
Mosaic,Digital Lending,P2P / Marketplace Business Lending,2011,2011,Private,"Korea, Rep.",United States,176,,,,Active
Moss & Cooper,"Digital Capital Raising, Enterprise Tech Provisioning","Capital Raising Retail Brokerage, Equity-Based Crowdfunding, Donation-Based Crowdfunding, Capital Raising Institutional Brokerage, Financial Management & Business Intelligence, Market data, Marketing services",2015,2015,Private,Portugal,Portugal,10-Jan,,,,Active
MotionsCloud,"InsurTech, Enterprise Tech Provisioning","Claims & Risk Management Solutions, Customer Management, AI / ML / NLP",2016,2016,Private,Germany,Germany,Nov-50,,,,Active
Moula,Digital Capital Raising,Community Shares,2013,2014,Private,Australia,Australia,76,,,,Active
Movi,"Digital Lending, InsurTech","P2P / Marketplace Consumer Lending, Balance Sheet Consumer Lending, Customer Cash-Advance, Digital Brokers or Agents",2008,2008,Public,Vietnam,Vietnam,201-500,,,,Active
Movi ,"Digital Savings, Digital Lending, InsurTech","Savings-as-a-Service (SaaS), Balance Sheet Consumer Lending, Customer Cash-Advance, Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions",2007,2019,Private,Vietnam,Vietnam,201-500,,,,Active
moyoAI,"Digital Identity, Alternative Credit Analytics, Enterprise Tech Provisioning","Fraud Prevention & Risk Management, KYC Solutions, Credit Scoring, Sociometric Analytics, Psychometric Analytics, AI / ML / NLP",2017,2017,Private,Mexico,Mexico,Nov-50,,,,Active
Moyuchet.kz,Enterprise Tech Provisioning,"Digital Accounting, Electronic Invoicing",,2014,Private,Kazakhstan,Kazakhstan,10-Jan,,,,Active
Mr Banks,WealthTech,Financial Comparison Sites,,2017,Private,Kenya,Kenya,,2019,,,Inactive
MR Presta,Digital Lending,P2P / Marketplace Business Lending,2013,2014,Private,Mexico,United States,6,,,,Active
MT tech,Digital Lending,P2P / Marketplace Property Lending,2004,2004,Private,"Korea, Rep.",Iceland,6,,,,Active
Mt. Gox,Cryptoasset Exchange,Order-Book,2010,2010,Private,Japan,Japan,10-Jan,2014,,,Inactive
Muawin,Digital Lending,Merchant Cash-Advance,2020,2021,Private,Pakistan,Pakistan,Nov-50,,,,Active
Muinmos,"Enterprise Tech Provisioning, RegTech","AI / ML / NLP, Dynamic Compliance, Regulatory Reporting",2012,2012,Private,Denmark,Denmark,10,,,,Active
Mujeres WOW,"Digital Lending, Alternative Credit Analytics, Enterprise Tech Provisioning","P2P / Marketplace Business Lending, Credit Scoring, AI / ML / NLP",2019,2019,Private,Ecuador,Ecuador,10-Jan,,,,Active
MultiBit,Digital Custody,Hosted Cryptoasset Wallet,,2011,Private,United States,United Kingdom,,2017,,,Inactive
Muniy ,"Digital Banks, WealthTech","Agent Banking (Cash-In / Cash-Out), Personal Financial Management / Planning",2018,2020,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
Music Securities,Digital Capital Raising,"Reward-Based Crowdfunding, Revenue / Profit Share Crowdfunding, Donation-Based Crowdfunding",2000,2001,Private,Japan,Japan,30,,,,Active
Musoni Microfinance,Digital Lending,Crowd-Led Microfinance,2010,2010,Private,Kenya,Kenya,201-500,,,,Active
Musoni System,Digital Banks,Agent Banking (Cash-In / Cash-Out),2013,2013,Private,Netherlands,Netherlands,10-Jan,,,,Active
Muthopay,"Digital Lending, Digital Payments","Customer Cash-Advance, Points of Access (PoS / mPoS / Online PoS), Payment Gateways, Money Transfer (P2P / P2B / B2P / B2B)",,2020,Private,Bangladesh,Bangladesh,Nov-50,,,,Active
Mutual Fintech,Digital Lending,P2P / Marketplace Consumer Lending,2016,2016,Private,Brazil,Brazil,76,,,,Active
Mutuo Financiera,Digital Lending,Balance Sheet Business Lending,2016,2016,Private,Mexico,Mexico,30,,,,Active
MX,"WealthTech, Enterprise Tech Provisioning","Personal Financial Management / Planning, Digital Wealth Management, Financial Management & Business Intelligence, AI / ML / NLP, Data aggregation",2009,2009,Private,United States,United States,501-1000,,,,Active
my FinTech,Digital Payments,Points of Access (PoS / mPoS / Online PoS),2018,2021,Public,Japan,Japan,,,,,Active
My New Startup,Digital Capital Raising,Equity-Based Crowdfunding,2013,2012,Private,France,France,6,,,,Active
MyBitcoin,Digital Custody,Hosted Cryptoasset Wallet,,2010,Private,Unidentified,Unidentified,,2011,,,Inactive
Mycause,Digital Capital Raising,Donation-Based Crowdfunding,2007,2014,Private,Australia,Australia,30,,,,Active
Mycelium,"Digital Custody, Digital Payments","Unhosted Cryptoasset Wallet, Payment processor, Hardware Cryptoasset Wallet, Consumer Spending",2018,2013,Private,Liechtenstein,Unidentified,,,,,Active
MyCoin,Cryptoasset Exchange,"Order-Book, Aggregation",,2014,Private,Unidentified,"Hong Kong SAR, China",,2015,,,Inactive
mymoneykarma,WealthTech,Personal Financial Management / Planning,2015,2015,Private,India,India,Nov-50,,,,Active
MyMoneyMantra,WealthTech,Financial Comparison Sites,1992,2010,Private,India,India,1001-5000,,,,Active
MyMoneySage,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning",2015,2015,Private,India,India,Nov-50,,,,Active
MyMy,"Enterprise Tech Provisioning, Digital Payments, Digital Banks","API Management, Mobile Money, Banking-as-a-Service (BaaS)",2019,2018,Private,Malaysia,Malaysia,10-Jan,,,,Active
Mynbest,Digital Capital Raising,Equity-Based Crowdfunding,2011,2012,Private,Spain,Spain,30,,,,Active
myNGOVO,Enterprise Tech Provisioning,Financial Management & Business Intelligence,,2020,Private,Kenya,Kenya,10-Jan,,,,Active
Mynt,"Digital Payments, Digital Lending","Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P), Balance Sheet Consumer Lending, Balance Sheet Business Lending",2015,2016,Private,Philippines,Philippines,501-1000,,,,Active
MYPAY,Digital Payments,"Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Digital Remittances (Domestic-P2P)",2015,2015,Private,Myanmar,Myanmar,,2018,,,Inactive
Mythical Games,Cryptoasset Exchange,P2P Cryptoasset Marketplaces,2018,2018,Private,United States,United States,201-500,,,,Active
MyTM,"Digital Payments, WealthTech, Digital Lending","Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Payment Gateways, Acquiring Services Providers for Merchants, API Hubs for Payments, Personal Financial Management / Planning, Balance Sheet Consumer Lending",2018,2018,Private,Pakistan,Pakistan,51-200,,,,Active
MytripleA,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2013,2017,Private,Spain,Spain,6,,,,Active
MÃ¡ximo,Digital Payments,Points of Access (PoS / mPoS / Online PoS),2020,2020,Private,Peru,Peru,Nov-50,,,,Active
N26,"Digital Banks, WealthTech, Digital Identity, Enterprise Tech Provisioning, InsurTech, Digital Payments","Fully Digitally Native Bank (Retail), Personal Financial Management / Planning, Security & Biometrics, AI / ML / NLP, On-Demand Insurance, Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Cross Border-P2P)",2013,2015,Private,Germany,Germany,1001-5000,,,,Active
Naapbooks,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2017,2017,Private,India,India,37,,,,Active
Nagro,"Digital Banks, Alternative Credit Analytics, Digital Lending","Fully Digitally Native Bank (Retail), Alternative Credit Rating Agency, P2P / Marketplace Consumer Lending, Credit Scoring, P2P / Marketplace Property Lending",2015,2015,Private,Brazil,Brazil,Nov-50,,,,Active
NairaEx,Cryptoasset Exchange,Retail Brokerage Services,,2015,Private,Unidentified,Nigeria,,,,,Active
Naked Insurance,InsurTech,"On-Demand Insurance, P2P Insurance, Usage-Based Insurance",2016,2016,Private,South Africa,South Africa,Nov-50,,,,Active
Namaste Credit,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2014,2014,Private,India,India,160,,,,Active
Namba One,Digital Payments,"Mobile Money, Money Transfer (P2P / P2B / B2P / B2B)",,2015,Private,Unidentified,Kyrgyz Republic,201-500,,,,Active
NapBots,"Cryptoasset Exchange, Enterprise Tech Provisioning","Trading Bots, API Management",2019,2020,Private,France,France,10-Jan,,,,Active
Napier,RegTech,"Profiling & Due Diligence, Risk Analytics",1984,1984,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Naranja,Digital Payments,"Payment Aggregators, Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), Top-ups & Refills, Digital Remittances (Domestic-P2P)",1985,1985,Private,Argentina,Argentina,1001-5000,,,,Active
Narmi ,"Digital Banks, Digital Payments, Enterprise Tech Provisioning","Banking-as-a-Service (BaaS), API Hubs for Payments, Financial Management & Business Intelligence",2016,2016,Private,United States,United States,51-200,,,,Active
Narwi,Digital Capital Raising,Donation-Based Crowdfunding,2012,2012,Private,Qatar,Qatar,6,,,,Active
Nash,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2020,2021,Private,United States,Kenya,Nov-50,,,,Active
National Funding,Digital Lending,Balance Sheet Business Lending,1999,1999,Private,United States,United States,176,,,,Active
Nav,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading, Balance Sheet Business Lending, Merchant Cash-Advance",2013,2013,Private,United States,United States,51-200,,,,Active
Navi,Digital Lending,"Balance Sheet Consumer Lending, Balance Sheet Property Lending",2018,2020,Public,India,India,501-1000,,,,Active
NayaPay,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Top-ups & Refills, eMoney Issuers",2016,2019,Private,Pakistan,Pakistan,51-200,,,,Active
NBC BOMESP,Enterprise Tech Provisioning,Enterprise Blockchain,2014,2017,Private,Brazil,Brazil,51-200,,,,Active
nCino,Digital Banks,"Banking-as-a-Service (BaaS), Education and Training",2011,2012,Public,United States,United States,1001-5000,,,,Active
Ndovu,WealthTech,Personal Financial Management / Planning,2020,2020,Private,Kenya,Kenya,10-Jan,,,,Active
Nearex,"Digital Identity, Digital Payments, Enterprise Tech Provisioning","Security & Biometrics, Fraud Prevention & Risk Management, Points of Access (PoS / mPoS / Online PoS), API Hubs for Payments, Payment Aggregators, Top-ups & Refills, Bulk Payment Solutions, API Management",2012,2012,Private,Singapore,Singapore,Nov-50,,,,Active
Neem Exponential,Digital Banks,Marketplace Bank (MSME),2019,2021,Private,Pakistan,Pakistan,10-Jan,,,,Active
Neighborly,Digital Lending,"Debt-Based Securities, Mini-Bonds",2010,2014,Private,United States,United States,30,2019,,,Inactive
Nelo,"Digital Lending, Digital Payments","Customer Cash-Advance, Payment Gateways",2019,2020,Private,Mexico,Mexico,10-Jan,,,,Active
NEO,Digital Lending,"P2P / Marketplace Consumer Lending, Balance Sheet Consumer Lending",2014,2014,Private,Lithuania,China,750,,,,Active
Neogrowth,Digital Lending,Merchant Cash-Advance,1993,2010,Private,India,India,51-200,,,,Active
NerdWallet,WealthTech,"Financial Comparison Sites, Education and Training",2010,2009,Private,United States,United States,201-500,,,,Active
Netcapital,Digital Capital Raising,Equity-Based Crowdfunding,2013,2016,Private,United States,United States,30,,,,Active
Netcoins,Cryptoasset Exchange,Single Dealer Platform / OTC Trading,2014,2015,Private,Canada,Canada,,,,,Active
Netki,Digital Identity,"Security & Biometrics, KYC Solutions, Fraud Prevention & Risk Management",2014,2014,Private,United States,United States,11,,,,Active
NetM,"Enterprise Tech Provisioning, Digital Payments, Digital Custody","Financial Management & Business Intelligence, Enterprise Blockchain, Money Transfer (Cryptoasset), Top-ups & Refill (Cryptoasset), Payment processor, eMoney Wallet, Key Management Services",2015,2015,Private,Unidentified,Colombia,7,,,,Active
NetZero,"WealthTech, Digital Capital Raising","Personal Financial Management / Planning, Donation-Based Crowdfunding",,2020,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
Netzme,Digital Payments,"Mobile Money, Acquiring Services Providers for Merchants, Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills",2017,2017,Private,Singapore,Indonesia,Nov-50,,,,Active
Neufund,Digital Capital Raising,Token Hosting Platform,,2016,Non profit,Germany,Liechtenstein,,2022,,,Active
New Shore Invest,"Digital Capital Raising, Digital Custody","Revenue / Profit Share Crowdfunding, eMoney Wallet",2018,2018,Private,Germany,Germany,2,,,,Active
New Union,Digital Lending,P2P / Marketplace Business Lending,2014,2014,Private,Singapore,Singapore,176,,,,Active
NewBanking Identity,"RegTech, Digital Identity","Profiling & Due Diligence, Dynamic Compliance, KYC Solutions, KYC & AML",2015,2015,Private,Denmark,Denmark,16,,,,Active
Newfront Insurance,InsurTech,Digital Brokers or Agents,2017,2017,Private,United States,United States,201-500,,,,Active
Newnote Financial,Digital Payments,Payment processor,2010,2013,Public,Canada,Canada,,,,,Active
NewsBTC,Cryptoasset Exchange,"Aggregation, Online newspaper",,2013,Private,United Kingdom,United Kingdom,,,,,Active
Newsystock,WealthTech,"Robo-Advisors, Personal Financial Management / Planning",2011,2016,Private,"Korea, Rep.","Korea, Rep.",10-Jan,,,,Active
Nexo,Cryptoasset Exchange,"Lending / Borrowing, Interest-bearing account, Institutional Brokerage Services",2018,2018,Private,Switzerland,United Kingdom,51-200,,,,Active
Nexoos,Digital Lending,P2P / Marketplace Business Lending,2014,2015,Private,Brazil,Brazil,30,,,,Active
Next Insurance,InsurTech,"Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions, IoT (including Telematics)",2015,2016,Private,United States,United States,501-1000,,,,Active
NextChapter,Digital Capital Raising,Reward-Based Crowdfunding,2015,2016,Private,"Hong Kong SAR, China",United States,6,,,,Active
nextmarkets,"WealthTech, Cryptoasset Exchange","Social Trading, Order-Book",,2016,Private,Malta,Malta,Nov-50,,,,Active
NextPay,Digital Banks,Fully Digitally Native Bank (MSME),,2020,Private,Philippines,Philippines,Nov-50,,,,Active
NextSeed,"Digital Capital Raising, Digital Lending","Revenue / Profit Share Crowdfunding, Debt-Based Securities",2013,2016,Private,United States,United States,30,,,,Active
Nexu,Digital Lending,Balance Sheet Consumer Lending,2014,2014,Private,Mexico,Mexico,30,,,,Active
NexusCrowd,Digital Capital Raising,Real Estate Crowdfunding,2014,2015,Private,Canada,Canada,6,,,,Active
Neyber,Digital Lending,Balance Sheet Consumer Lending,2014,2014,Private,United Kingdom,United Kingdom,176,,,,Active
Nibox ,Digital Payments,"Top-ups & Refills, Points of Access (PoS / mPoS / Online PoS), Money Transfer (P2P / P2B / B2P / B2B)",2016,2016,Private,Nigeria,Nigeria,Nov-50,,,,Active
Niki,"Enterprise Tech Provisioning, Digital Payments","AI / ML / NLP, Top-ups & Refills, Money Transfer (Cryptoasset)",,2015,Private,India,India,51-200,2021,,,Inactive
Nimbla,InsurTech,"Parametric-Based Insurance, On-Demand Insurance, Usage-Based Insurance, Claims & Risk Management Solutions",2020,2017,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Nimbus,"Cryptoasset Exchange, Digital Lending, Digital Capital Raising","P2P Cryptoasset Marketplaces, Trading Bots, P2P / Marketplace Consumer Lending, Revenue / Profit Share Crowdfunding, Token Hosting Platform",2020,2020,Decentralised autonomous,Malta,Malta,Nov-50,,,,Active
Nira,Digital Lending,"Balance Sheet Consumer Lending, Crowd-Led Microfinance",2017,2017,Private,India,India,51-200,,,,Active
Niro,Enterprise Tech Provisioning,API Management,2021,2021,Private,India,India,Nov-50,,,,Active
NIUM,"Digital Payments, Enterprise Tech Provisioning, Digital Banks","Digital Remittances (Cross Border-P2P), API Hubs for Payments, Money Transfer (P2P / P2B / B2P / B2B), Electronic Invoicing, Banking-as-a-Service (BaaS)",2014,2015,Private,Singapore,Singapore,201-500,,,,Active
Nivaura,"Enterprise Tech Provisioning, RegTech","Enterprise Blockchain, Dynamic Compliance",,2016,,United Kingdom,United Kingdom,Nov-50,,,,Active
Nivesh,"Digital Savings, Digital Lending","Digital Money Market / Fund  , P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2016,2017,Private,India,India,Nov-50,,,,Active
Niwo Jinrong,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2014,Private,China,China,201-500,,,,Active
Niwodai,Digital Lending,P2P / Marketplace Consumer Lending,2011,2016,Private,China,China,,,,,Active
Niyo Solutions Inc.,"WealthTech, Digital Payments, Digital Banks, Digital Savings","Personal Financial Management / Planning, Robo-Advisors, Money Transfer (P2P / P2B / B2P / B2B), Fully Digitally Native Bank (Retail), Digital Money Market / Fund  ",2015,2016,Private,India,India,501-1000,,,,Active
Nobi,Cryptoasset Exchange,"Order-Book, Trading Bots",2021,2018,Private,Indonesia,Indonesia,Nov-50,,,,Active
noburo,"Digital Lending, WealthTech, Digital Savings","Balance Sheet Consumer Lending, Personal Financial Management / Planning, Digital Money Market / Fund  , Education and Training",2015,2018,Private,Thailand,Thailand,Nov-50,,,,Active
Node40,"Consensus Services, WealthTech, RegTech, Enterprise Tech Provisioning","Staking-as-a-Service, Personal Financial Management / Planning, Regulatory Reporting, Dynamic Compliance, Digital Accounting, Taxation",2018,2015,Private,United States,United States,Nov-50,,,,Active
NOMANINI HOLDINGS (PTY) LTD,Digital Payments,"Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS), Mobile Money, Data aggregation",2011,2011,Private,South Africa,South Africa,Nov-50,,,,Active
NonProfitEasy,Digital Capital Raising,Donation-Based Crowdfunding,2012,2012,Private,Algeria,United States,6,,,,Active
Nord,WealthTech,"Robo-Advisors, Digital Wealth Management, Personal Financial Management / Planning",2015,2015,Public,Denmark,Denmark,Nov-50,,,,Active
Nordigen,"Alternative Credit Analytics, Enterprise Tech Provisioning, RegTech","Credit Scoring, Financial Management & Business Intelligence, API Management, Risk Analytics",2016,2016,Private,Latvia,Latvia,Nov-50,,,,Active
Nordstreet,"Digital Capital Raising, Digital Lending","Real Estate Crowdfunding, Balance Sheet Business Lending, P2P / Marketplace Business Lending",,2018,Private,Lithuania,Lithuania,10-Jan,,,,Active
Nori,"Enterprise Tech Provisioning, Digital Capital Raising","Enterprise Blockchain, API Management, Reward-Based Crowdfunding",2017,2018,Private,United States,United States,10-Jan,,,,Active
North Capital Investment Technology (NCIT),"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Equity-Based Crowdfunding, Real Estate Crowdfunding",2015,2015,Private,United States,United States,30,,,,Active
NorthOne,Digital Banks,Fully Digitally Native Bank (MSME),2016,2019,Private,Canada,United States,51-200,,,,Active
NorthRow,"RegTech, Digital Lending","Risk Analytics, Profiling & Due Diligence, Dynamic Compliance, Merchant Cash-Advance, Balance Sheet Business Lending",2010,2010,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Nova Credit,"Alternative Credit Analytics, Enterprise Tech Provisioning","Credit Scoring, API Management",2016,2016,Private,United States,United States,Nov-50,,,,Active
NovaBlock,Consensus Services,"Pool Operation, Equipment Procurement & Financing, Remote Hosting Services, Firmware & Software Development",2020,2019,Private,Unidentified,"Hong Kong SAR, China",,,,,Active
Noverde,Digital Lending,Balance Sheet Consumer Lending,2016,2016,Private,Brazil,Brazil,30,,,,Active
Novicap,Digital Lending,Invoice Trading,2014,2012,Private,Spain,United Kingdom,30,,,,Active
Noviscient,WealthTech,"Digital Wealth Management, Robo-Advisors, Personal Financial Management / Planning, Education and Training, Investment advisory, Portfolio management",2016,2016,Private,Singapore,Singapore,10-Jan,,,,Active
Novo,"Digital Banks, Enterprise Tech Provisioning, Digital Payments","Agent Banking (Cash-In / Cash-Out), Financial Management & Business Intelligence, Electronic Invoicing, Digital Accounting, Money Transfer (P2P / P2B / B2P / B2B)",2016,2017,Private,United States,United States,51-200,,,,Active
NovoPayment,Enterprise Tech Provisioning,"API Management, Financial Management & Business Intelligence, Application development, API Interface",2007,2007,Private,United States,United States,201-500,,,,Active
Nowigo,"Digital Payments, Digital Identity","Points of Access (PoS / mPoS / Online PoS), Security & Biometrics, Events",,2016,Private,Brazil,Brazil,10-Jan,,,,Active
NPEX,Digital Lending,"Debt-Based Securities, Mini-Bonds",2009,2016,Private,Netherlands,Netherlands,30,,,,Active
Nuapay,Digital Payments,"Payment Gateways, Bulk Payment Solutions, Points of Access (PoS / mPoS / Online PoS), Settlement & Clearing Services Providers, API Hubs for Payments, Acquiring Services Providers for Merchants",2008,2008,Private,United Kingdom,United Kingdom,51-200,,,,Active
Nubank,"Digital Banks, Digital Lending","Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME), Balance Sheet Consumer Lending",2013,2014,Private,Brazil,Brazil,1001-5000,,,,Active
Nucleus Market,Digital Payments,Consumer Spending,,2014,Private,Unidentified,Unidentified,,2016,,,Inactive
NUFIN DATA,Digital Lending,Invoice Trading,2017,2017,Private,Singapore,Singapore,Nov-50,,,,Active
Nullpointer ,Enterprise Tech Provisioning,"AI / ML / NLP, Financial Management & Business Intelligence, API Management",2017,2017,Private,India,India,10-Jan,,,,Active
Numbrs,"WealthTech, Digital Savings, Digital Payments, Digital Custody","Personal Financial Management / Planning, Digital Micro Saving Solutions, Money Transfer (P2P / P2B / B2P / B2B), Unhosted Cryptoasset Wallet",,2013,Private,Switzerland,Switzerland,51-200,,,,Active
Numerai,Enterprise Tech Provisioning,"AI / ML / NLP, API Management",2015,2015,Private,United States,United States,Nov-50,,,,Active
Numerated,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2017,2017,Private,United States,United States,51-200,,,,Active
Numida,Digital Lending,Balance Sheet Business Lending,2015,2015,Private,Uganda,Uganda,51-200,,,,Active
Nuo,"Digital Lending, Cryptoasset Exchange","P2P / Marketplace Consumer Lending, Advanced Trading Services",2018,2018,Private,Singapore,Singapore,10-Jan,,,,Active
Nupay,"Digital Banks, Digital Payments","Banking-as-a-Service (BaaS), API Hubs for Payments",2016,2016,Private,India,India,Nov-50,,,,Active
Nuri ,"Digital Payments, Digital Savings, Digital Custody","Money Transfer (P2P / P2B / B2P / B2B), Savings-as-a-Service (SaaS), eMoney Wallet",2015,2013,Private,Germany,Germany,51-200,,,,Active
Nusapay,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills",2017,2018,Private,Indonesia,Indonesia,,,,,Active
Nutmeg,WealthTech,"Digital Wealth Management, Pension-Led Funding",2011,2011,Private,United Kingdom,United Kingdom,51-200,,,,Active
Nvest Solution,InsurTech,"Comparison Portal, Financial Solution Provider and Consulting Service",2013,2021,Private,India,India,51-200,,,,Active
Nymbus,"Digital Banks, Digital Identity, Enterprise Tech Provisioning, WealthTech, RegTech","Banking-as-a-Service (BaaS), Fraud Prevention & Risk Management, KYC Solutions, Cloud Computing, API Management, Personal Financial Management / Planning, Dynamic Compliance",2015,2015,Private,United States,United States,501-1000,,,,Active
OakNorth,"Alternative Credit Analytics, RegTech, Digital Lending, Digital Banks","Credit Scoring, Market Monitoring, Balance Sheet Business Lending, Balance Sheet Property Lending, Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME)",2013,2015,Private,United Kingdom,United Kingdom,501-1000,,,,Active
Obelisk,Consensus Services,"Hardware Manufacturing, Firmware & Software Development",2017,2017,Private,Unidentified,United States,201-500,,,,Active
