Status,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status
Active,Kensho ,Enterprise Tech Provisioning,AI / ML / NLP,2012,2012,Private,United States,United States,51-200,,,
Active,Keiwa,Enterprise Tech Provisioning,Digital Accounting,2018,2019,Private,Unidentified,Cote D'Ivoire,11-50,,,
Inactive,KeepKey,Digital Custody,Hardware Cryptoasset Wallet,2014,2015,Private,United States,United States,,2017,,
Active,Kavod Lending,"Digital Lending, WealthTech","P2P / Marketplace Business Lending, Personal Financial Management / Planning",2016,2017,Private,Brazil,Brazil,1-10,,,
Active,KATSANA,InsurTech,IoT (including Telematics),,2016,Private,Malaysia,Malaysia,51-200,,,
Active,Kasko,"InsurTech, Enterprise Tech Provisioning","Customer Management, Technical Service Provider (TSP), API Management",2015,2015,Private,United Kingdom,United Kingdom,58,,,
Active,Kashway,Digital Lending,Balance Sheet Consumer Lending,,2019,Private,Unidentified,Kenya,,,,
Active,Kashat,Digital Lending,Balance Sheet Business Lending,2018,2019,Private,"Egypt, Arab Rep.","Egypt, Arab Rep.",11-50,,,
Active,Karolina Fund,Digital Capital Raising,Reward-Based Crowdfunding,2013,2012,Private,Iceland,Iceland,6,,,
Active,Karmalife,"WealthTech, InsurTech","Personal Financial Management / Planning, Digital Brokers or Agents",2020,2020,Private,India,India,11-50,,,
Active,Kapytal Exchange,Cryptoasset Exchange,"Single Dealer Platform / OTC Trading, P2P Cryptoasset Marketplaces",2017,2018,Private,Mexico,Mexico,11-50,,,
Active,Kapitus,Digital Lending,"P2P / Marketplace Business Lending, Balance Sheet Business Lending",2006,2006,Private,United States,United States,376,,,
Active,Kapital Boost,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Donation-Based Crowdfunding",2015,2015,Private,Indonesia,Singapore,30,,,
Active,Kapitaal Opmaat,Digital Lending,P2P / Marketplace Business Lending,2013,2012,Private,Netherlands,Netherlands,6,,,
Active,Kapilendo,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,Germany,Germany,176,,,
Active,Kantox,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2011,2011,Private,United Kingdom,United Kingdom,51-200,,,
Active,KanoPool,Consensus Services,Pool Operation,,2014,Private,Unidentified,Unidentified,,,,
Active,Kanjwa,WealthTech,"Personal Financial Management / Planning, Financial Comparison Sites",,2018,Private,Kenya,Kenya,1-10,,,
Active,Kameo,Digital Lending,P2P / Marketplace Business Lending,2014,2014,Private,Sweden,Sweden,6,,,
Active,Kambista,Digital Payments,Digital Remittances (Domestic-P2P),,2016,Private,Peru,Peru,11-50,,,
Active,Kalepa,"Enterprise Tech Provisioning, InsurTech, RegTech","AI / ML / NLP, Financial Management & Business Intelligence, Customer Management, Claims & Risk Management Solutions, Risk Analytics",2021,2020,Private,United States,United States,1-10,,,
Active,Kakbima ,Enterprise Tech Provisioning,"Cloud Computing, Financial Management & Business Intelligence, API Management",,2018,Private,Kenya,Kenya,1-10,,,
Active,KakaoPay,"Digital Payments, WealthTech, InsurTech","Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Cross Border-P2P), Personal Financial Management / Planning, Digital Wealth Management, Digital Brokers or Agents",2017,2014,Private,"Korea, Rep.","Korea, Rep.",501-1000,,,
Active,KakaoBank ,Digital Banks,Fully Digitally Native Bank (Retail),,2016,Private,"Korea, Dem. People's Rep.","Korea, Rep.",1001-5000,,,
Active,Kaixin Dai,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2011,2013,Private,China,China,6,,,
Active,Kaishiba,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2015,2015,Private,China,China,376,,,
Active,Kairon Labs,Cryptoasset Exchange,"High-Frequency Trading (HFT) Services, Market Making",2019,2018,Private,Belgium,Belgium,,,,
Active,Kaiko,Cryptoasset Exchange,"Aggregation, Block Explorers, Market data",2014,2015,Private,France,France,,,,
Active,Kabbage,Digital Lending,Balance Sheet Business Lending,2009,2010,Private,United States,United States,750,,,
Active,JYC99.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2015,2015,Private,China,China,30,,,
Active,Juvo,Alternative Credit Analytics,Credit Scoring,2014,2015,Private,United States,United States,51-200,,,
Active,JustUs.co,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2014,2013,Private,United Kingdom,United Kingdom,30,,,
Active,JustGiving,Digital Capital Raising,Donation-Based Crowdfunding,1999,2001,Private,United Kingdom,United Kingdom,176,,,
Inactive,Justcoin,Cryptoasset Exchange,Order-Book,2014,2013,Private,Norway,Norway,,2014,,
Inactive,Justabit,Cryptoasset Exchange,Single Dealer Platform / OTC Trading,,2015,Private,Unidentified,United States,,2016,,
Active,Just Invest,WealthTech,"Digital Wealth Management, Robo-Advisors",2018,2016,Private,United States,United States,13,,,
Active,Just Cashflow,Digital Lending,Balance Sheet Business Lending,2012,2013,Private,United Kingdom,United Kingdom,30,,,
Active,JusPay,"Digital Payments, Enterprise Tech Provisioning","Points of Access (PoS / mPoS / Online PoS), API Hubs for Payments, Acquiring Services Providers for Merchants, Digital Accounting",2012,2012,Private,India,India,201-500,,,
Active,Juros Baixos,Digital Banks,"Fully Digitally Native Bank (Retail), Marketplace Bank (Retail)",2018,2016,Private,Brazil,Brazil,21,,,
Active,Jurnal,Enterprise Tech Provisioning,Digital Accounting,,2015,Private,Indonesia,Indonesia,201-500,,,
Active,Juntos,Digital Capital Raising,Donation-Based Crowdfunding,2011,2011,Private,Brazil,United States,76,,,
Active,Juniper Square,Enterprise Tech Provisioning,"Cloud Computing, Financial Management & Business Intelligence",2014,2017,Private,United States,United States,201-500,,,
Active,Juni,"Digital Banks, Enterprise Tech Provisioning, Digital Payments","Agent Banking (Cash-In / Cash-Out), Financial Management & Business Intelligence, Money Transfer (P2P / P2B / B2P / B2B)",,2021,Private,Sweden,Sweden,51-200,,,
Active,JumpStart Africa,Digital Capital Raising,Reward-Based Crowdfunding,2015,2015,Private,South Africa,United States,6,,,
Active,Jump Trading,Cryptoasset Exchange,"High-Frequency Trading (HFT) Services, Market Making",2006,2017,Private,United States,United States,,,,
Active,JUMO,"Alternative Credit Analytics, Digital Banks, Enterprise Tech Provisioning","Psychometric Analytics, Credit Scoring, Banking-as-a-Service (BaaS), AI / ML / NLP",2010,2015,Private,Mauritius,South Africa,201-500,,,
Active,Jumio,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning, Robo Retirement / Pension Planning",2010,2010,Private,United States,United States,201-500,,,
Active,JULO,Digital Lending,P2P / Marketplace Consumer Lending,,2016,Private,Indonesia,Indonesia,51-200,,,
Active,Julaya,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, Digital Accounting",2018,2018,Private,France,Cote D'Ivoire,11-50,,,
Active,Judo Bank,Digital Banks,Fully Digitally Native Bank (MSME),2016,2018,Private,Australia,Australia,51-200,,,
Active,Joust,Digital Lending,P2P / Marketplace Property Lending,2020,2016,Private,Australia,Australia,11-50,,,
Active,Joukon Voima,"Digital Capital Raising, Digital Lending","Reward-Based Crowdfunding, P2P / Marketplace Business Lending",2013,2013,Private,Finland,Finland,6,,,
Active,Joro,WealthTech,"Personal Financial Management / Planning, Education and Training",2017,2020,Private,United States,United States,1-10,,,
Active,Jooycar,"InsurTech, Enterprise Tech Provisioning","IoT (including Telematics), Claims & Risk Management Solutions, Customer Management, AI / ML / NLP, Cloud Computing",2018,2014,Private,United States,Chile,40,,,
Active,Jojonomic,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Electronic Invoicing, API Management",2015,2015,Private,Singapore,Indonesia,51-200,,,
Active,Jisort ,"Enterprise Tech Provisioning, Digital Payments, RegTech, Alternative Credit Analytics, Digital Identity, Digital Banks","API Management, Digital Accounting, API Hubs for Payments, Risk Analytics, Regulatory Reporting, Dynamic Compliance, Credit Scoring, KYC Solutions, Banking-as-a-Service (BaaS)",2016,2018,Private,Kenya,Kenya,11-50,,,
Active,JINZHU WEALTH,Digital Lending,P2P / Marketplace Property Lending,2016,2016,Private,China,China,,,,
Active,Jinri Jiecai,Digital Lending,P2P / Marketplace Consumer Lending,2014,2014,Private,China,China,176,,,
Active,Jinmen Caijing,Digital Lending,P2P / Marketplace Business Lending,2013,2013,Public,China,China,176,,,
Active,Jing Daijinfu,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2013,2013,Private,China,China,30,,,
Active,Jinfuzi,Digital Capital Raising,Equity-Based Crowdfunding,2011,2012,Private,China,China,376,,,
Active,Jimubox,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2013,2013,Private,China,China,750,,,
Active,Jiedaibao,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2015,Private,China,China,3000,,,
Active,Jibrel Network,"WealthTech, Enterprise Tech Provisioning, Consensus Services","Digital Wealth Management, Financial Management & Business Intelligence, Enterprise Blockchain, Staking-as-a-Service",2017,2017,Private,Switzerland,Switzerland,15,,,
Active,jianpu technology,"WealthTech, RegTech, Enterprise Tech Provisioning, Digital Lending","Financial Comparison Sites, Risk Analytics, Financial Management & Business Intelligence, Balance Sheet Consumer Lending",2018,2016,Public,China,China,201-500,,,
Active,Jempol Kiosk,Digital Payments,Payment Aggregators,2007,2013,Private,Indonesia,Indonesia,11-50,,,
Active,Jeitto,"Digital Payments, Alternative Credit Analytics, Digital Lending","Top-ups & Refills, Payment Gateways, Credit Scoring, Balance Sheet Consumer Lending",2016,2014,Private,Brazil,Brazil,49,,,
Active,JD Technology,"Digital Capital Raising, RegTech, Digital Payments, Enterprise Tech Provisioning, Digital Identity, Digital Lending, WealthTech","Equity-Based Crowdfunding, Risk Analytics, Payment Gateways, Cloud Computing, AI / ML / NLP, Fraud Prevention & Risk Management, Balance Sheet Consumer Lending, Customer Cash-Advance, Digital Wealth Management, Crowd-Led Microfinance",,2013,Private,Unidentified,China,1001-5000,,,
Active,JD Mining,Consensus Services,"Hardware oracle, Cloud Mining, Remote Hosting Services",2017,2014,Private,"Hong Kong SAR, China",China,,,,
Active,JazzCash,Digital Payments,"Mobile Money, Top-ups & Refills, Payment Gateways",2010,2012,Private,Pakistan,Pakistan,1001-5000,,,
Active,Jaxx,Digital Custody,Unhosted Cryptoasset Wallet,2015,2013,Private,Canada,Canada,,,,
Active,JaSure,InsurTech,"On-Demand Insurance, Usage-Based Insurance, Digital Brokers or Agents",2016,2017,Private,South Africa,South Africa,8,,,
Active,Jaribha,Digital Capital Raising,Reward-Based Crowdfunding,2011,2015,Private,Kuwait,Kuwait,6,,,
Active,Jamborow ,"Alternative Credit Analytics, Enterprise Tech Provisioning, Digital Lending, Digital Identity","Credit Scoring, API Management, Financial Management & Business Intelligence, P2P / Marketplace Consumer Lending, KYC Solutions",2020,2020,Private,United Kingdom,Nigeria,1-10,,,
Active,JamboPay,"Digital Payments, Digital Capital Raising, Digital Lending","Payment Gateways, Acquiring Services Providers for Merchants, Bulk Payment Solutions, Donation-Based Crowdfunding, Customer Cash-Advance",,2010,Private,Kenya,Kenya,11-50,,,
Active,Jaib,"Digital Lending, Digital Payments","Customer Cash-Advance, Payment Gateways",2018,2018,Private,Unidentified,United Arab Emirates,11-50,,,
Active,Jacobi,"RegTech, Enterprise Tech Provisioning","Regulatory Reporting, API Management, Cloud Computing, API Interface",2015,2014,Private,United States,United States,45,,,
Active,Iwoca,Digital Lending,"Balance Sheet Business Lending, Customer Cash-Advance",2011,2012,Private,United Kingdom,United Kingdom,201-500,,,
Active,Ivarejo,Digital Lending,"Debt-Based Securities, P2P / Marketplace Property Lending, Invoice Trading",2005,2005,Private,Brazil,Brazil,30,,,
Active,iuvo,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2016,2013,Private,Bulgaria,Estonia,30,,,
Active,iTrustCapital,Cryptoasset Exchange,Order-Book,2018,2018,Private,United States,United States,51-200,,,
Active,iTAX,WealthTech,"Personal Financial Management / Planning, Financial Comparison Sites, Taxation",,2013,Private,Thailand,Thailand,1-10,,,
Active,ISF Crédito Orientado,Digital Lending,P2P / Marketplace Business Lending,2009,2009,Private,Brazil,Brazil,176,,,
Active,ISBIT,"Cryptoasset Exchange, Digital Payments, Digital Custody, Enterprise Tech Provisioning","Order-Book, Points of Access (PoS / mPoS / Online PoS), Hosted Cryptoasset Wallet, Digital Accounting, Financial Management & Business Intelligence",2013,2014,Private,Mexico,Mexico,1-10,,,
Active,irongbei.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2014,Private,China,China,176,,,
Active,IPay.ua,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, Top-ups & Refills, Payment Aggregators",2008,2012,Private,Ukraine,Ukraine,201-500,,,
Active,IOUU,Digital Lending,P2P / Marketplace Business Lending,2016,2016,Private,Brazil,Brazil,30,,,
Active,IOU Financial,Digital Lending,"P2P / Marketplace Business Lending, Balance Sheet Business Lending",2011,2011,Private,United States,United States,76,,,
Active,Invstr,"WealthTech, Cryptoasset Exchange, Digital Payments","Personal Financial Management / Planning, Retail Brokerage Services, Money Transfer (P2P / P2B / B2P / B2B)",2012,2014,Private,United Kingdom,United Kingdom,11-50,,,
Active,Invoop,Digital Capital Raising,Equity-Based Crowdfunding,2016,2016,Private,Brazil,Brazil,6,,,
Active,InvoiceInterchange,Digital Lending,Invoice Trading,2015,2015,Private,Singapore,Singapore,6,,,
Active,InvoiceFair,Digital Lending,Invoice Trading,2014,2013,Private,Ireland,Ireland,6,,,
Active,Invoice2go,Enterprise Tech Provisioning,Electronic Invoicing,2002,2009,Private,United States,United States,51-200,,,
Active,InvestX Capital,Digital Capital Raising,Equity-Based Crowdfunding,2014,2015,Private,Canada,Canada,30,,,
Active,Investree,Digital Lending,P2P / Marketplace Business Lending,2015,2016,Private,Indonesia,Indonesia,176,,,
Active,Investly,Digital Lending,Invoice Trading,2013,2010,Private,Estonia,United Kingdom,30,,,
Active,InvestingZone,Digital Capital Raising,Equity-Based Crowdfunding,2013,2013,Private,United Kingdom,United Kingdom,6,,,
Active,Investiere,Digital Capital Raising,Equity-Based Crowdfunding,2013,2010,Private,Switzerland,Switzerland,30,,,
Active,InvestDen,Digital Capital Raising,Equity-Based Crowdfunding,2015,2015,Private,United Kingdom,United Kingdom,30,,,
Active,InvestaX,"Digital Lending, Digital Capital Raising","Balance Sheet Property Lending, Real Estate Crowdfunding",2015,2016,Private,Singapore,Singapore,30,,,
Active,Investable,Digital Capital Raising,Equity-Based Crowdfunding,2014,2014,Private,"Hong Kong SAR, China","Hong Kong SAR, China",30,,,
Active,Invest & Fund,Digital Lending,P2P / Marketplace Property Lending,2012,2014,Private,United Kingdom,United Kingdom,30,,,
Active,InvesProperti,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2017,2018,Private,Indonesia,Indonesia,1-10,,,
Active,Invesdor,"Digital Capital Raising, Digital Lending","Equity-Based Crowdfunding, Debt-Based Securities, Mini-Bonds",2012,2011,Private,Finland,Finland,30,,,
Active,Inverspot,Digital Capital Raising,Real Estate Crowdfunding,2015,2015,Private,Mexico,Mexico,30,,,
Active,INVEREM,Digital Capital Raising,Equity-Based Crowdfunding,2012,2012,Private,Spain,Spain,6,,,
Active,Invento,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Digital Accounting",2007,2007,Private,Indonesia,Indonesia,,,,
Active,iNuka Pap,Digital Lending,"Balance Sheet Consumer Lending, Customer Cash-Advance",,2015,Private,Kenya,Kenya,1-10,,,
Active,Intuit Mint ,"WealthTech, Alternative Credit Analytics, InsurTech, Digital Savings","Financial Comparison Sites, Personal Financial Management / Planning, Credit Scoring, Comparison Portal, Digital Micro Saving Solutions",2013,2016,Private,United States,United States,5001-10000,,,
Active,Intro Crowd,"Digital Capital Raising, WealthTech","Real Estate Crowdfunding, Personal Financial Management / Planning",2015,2015,Private,United Kingdom,United Kingdom,11-50,,,
Active,Intralinks,"Digital Capital Raising, Enterprise Tech Provisioning, RegTech, Digital Identity, Alternative Credit Analytics","Capital Raising Institutional Brokerage, API Management, AI / ML / NLP, Cloud Computing, Digital Accounting, Profiling & Due Diligence, Dynamic Compliance, Risk Analytics, KYC Solutions, Credit Scoring, Data aggregation, Software oracle, Portfolio management",1996,1996,Public,United States,United States,501-1000,,,
Active,Interswitch,"Digital Payments, Digital Identity","Money Transfer (P2P / P2B / B2P / B2B), Payment Gateways, Bulk Payment Solutions, Acquiring Services Providers for Merchants, Fraud Prevention & Risk Management",,2002,Private,Nigeria,Nigeria,1001-5000,,,
Inactive,Intersango,Cryptoasset Exchange,Order-Book,2011,2011,Private,United Kingdom,United Kingdom,,2016,,
Active,Interos,"Enterprise Tech Provisioning, RegTech","AI / ML / NLP, Risk Analytics",2005,2009,Private,United States,United States,51-200,,,
Active,InterNex Capital,Digital Lending,Balance Sheet Business Lending,2015,2015,Private,United States,United States,30,,,
Active,Interloan,"Digital Lending, WealthTech","P2P / Marketplace Consumer Lending, Personal Financial Management / Planning",2018,2018,Private,Vietnam,Vietnam,11-50,,,
Active,Intellimortgage,Digital Lending,Balance Sheet Property Lending,2011,2011,Private,Canada,Canada,30,,,
Active,Integrated Finance,"Enterprise Tech Provisioning, Digital Payments","API Management, API Hubs for Payments",2019,2020,Private,United Kingdom,United Kingdom,11-50,,,
Active,Inswitch,"Digital Payments, Enterprise Tech Provisioning, Digital Identity, Alternative Credit Analytics, Digital Custody","API Hubs for Payments, Digital Remittances (Cross Border-P2P), Points of Access (PoS / mPoS / Online PoS), Payment Gateways, API Management, Electronic Invoicing, Digital Accounting, KYC Solutions, Fraud Prevention & Risk Management, Credit Scoring, eMoney Wallet, Software oracle",2002,2002,Private,United States,United States,201-500,,,
Active,InsureScan,"InsurTech, Alternative Credit Analytics, Enterprise Tech Provisioning","Digital Brokers or Agents, Claims & Risk Management Solutions, Customer Management, Comparison Portal, Credit Scoring, Cloud Computing, AI / ML / NLP, Enterprise Blockchain, Application development",2014,2015,Private,United States,United States,1-10,,,
Active,InsureAfrika,InsurTech,"Customer Management, Digital Brokers or Agents, Comparison Portal",2015,2014,Private,Kenya,Kenya,1-10,,,
Active,InsuraGuest,"Enterprise Tech Provisioning, InsurTech","API Management, On-Demand Insurance",2017,2017,Private,Canada,United States,1-10,,,
Active,Instnt,"Digital Identity, RegTech, Enterprise Tech Provisioning","KYC Solutions, Fraud Prevention & Risk Management, Dynamic Compliance, AI / ML / NLP",2019,2019,Private,United States,United States,1-20,,,
Inactive,Instawallet,Digital Custody,Hosted Cryptoasset Wallet,,2011,Private,India,India,,2012,,
Active,InstaVal,"Enterprise Tech Provisioning, RegTech, Digital Capital Raising","Financial Management & Business Intelligence, Dynamic Compliance, Capital Raising Institutional Brokerage, Data aggregation",2018,2018,Private,United Arab Emirates,United Arab Emirates,1-10,,,
Active,Instarem,"Digital Payments, WealthTech","Digital Remittances (Cross Border-P2P), Money Transfer (P2P / P2B / B2P / B2B), Personal Financial Management / Planning",2014,2014,Private,Singapore,Singapore,201-500,,,
Active,Instant Financial,"Digital Lending, WealthTech, Digital Payments","Balance Sheet Consumer Lending, Personal Financial Management / Planning, eMoney Issuers",2015,2016,Private,Canada,Canada,11-50,,,
Active,INSTANDA,InsurTech,"Customer Management, Technical Service Provider (TSP)",2004,2010,Private,United Kingdom,United Kingdom,51-200,,,
Active,InRento,Digital Capital Raising,Real Estate Crowdfunding,2020,2020,Private,Lithuania,Lithuania,1-10,,,
Inactive,Inputs.io,Digital Custody,Hosted Cryptoasset Wallet,,2013,Private,Unidentified,Unidentified,,2013,,
Active,INNPACTIA,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2016,2011,Private,Colombia,Colombia,11-50,,,
Active,Innoviti,"Digital Lending, Enterprise Tech Provisioning, Digital Payments","Balance Sheet Business Lending, AI / ML / NLP, Points of Access (PoS / mPoS / Online PoS), Payment Gateways",2002,2002,Private,India,India,201-500,,,
Active,Innovestment,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Equity-Based Crowdfunding",2011,2014,Private,Germany,Germany,6,,,
Active,Innovate Security Sweden AB,RegTech,"Risk Analytics, Dynamic Compliance, Compliance, Data aggregation, Security auditing, Self-regulatory",2015,2015,Private,Sweden,Sweden,1-10,,,
Active,Innova Funding,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2015,2016,Private,Peru,Peru,,,,
Active,Innova Factoring,Digital Lending,Invoice Trading,2015,2017,Private,Peru,Peru,6,,,
Active,Innov8tif ,Digital Identity,"KYC Solutions, Security & Biometrics",2011,2015,Private,Malaysia,Malaysia,11-50,,,
Active,Innosilicon,Consensus Services,Hardware Manufacturing,2006,2014,Private,China,China,51-200,,,
Active,Inmocrowd,Digital Capital Raising,Community Shares,2008,2008,Private,Spain,Spain,6,,,
Active,Injective Protocol ,"Cryptoasset Exchange, Consensus Services","Decentralised Exchange (DEX) Relayer, Advanced Trading Services, Staking-as-a-Service",2018,2019,Private,United States,United States,11-50,,,
Active,Inixar,"Digital Capital Raising, WealthTech","Donation-Based Crowdfunding, Robo Retirement / Pension Planning",2012,2012,Private,Mexico,Mexico,1-10,,,
Active,inhand,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Invoice Trading",2001,2001,Private,China,China,376,,,
Active,InfraDigital Nusantara,"Enterprise Tech Provisioning, Digital Payments","Financial Management & Business Intelligence, Electronic Invoicing, Money Transfer (P2P / P2B / B2P / B2B)",2017,2018,Private,Indonesia,Indonesia,51-200,,,
Active,Indy,Enterprise Tech Provisioning,Digital Accounting,2016,2016,Private,France,France,51-200,,,
Active,Industrial and Commercial Bank of China,"Digital Payments, RegTech, Digital Lending, Digital Banks, Alternative Credit Analytics, Digital Identity","Points of Access (PoS / mPoS / Online PoS), Payment Gateways, Acquiring Services Providers for Merchants, Risk Analytics, P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending, Balance Sheet Business Lending, Balance Sheet Consumer Lending, Balance Sheet Property Lending, Debt-Based Securities, Marketplace Bank (Retail), Agent Banking (Cash-In / Cash-Out), Fully Digitally Native Bank (Retail), Marketplace Bank (MSME), Fully Digitally Native Bank (MSME), Credit Scoring, Fraud Prevention & Risk Management",2004,1984,Private,United States,United States,10001-,,,
Active,Indoproc,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Electronic Invoicing",,2018,Private,Indonesia,Indonesia,11-50,,,
Active,Indodax.com,Cryptoasset Exchange,"Order-Book, Retail Brokerage Services",2013,2014,Private,Indonesia,Indonesia,,,,
Active,Indodana,Digital Lending,"P2P / Marketplace Consumer Lending, Customer Cash-Advance",2020,2018,Private,Indonesia,Indonesia,51-200,,,
Active,INDmoney,"WealthTech, Digital Savings, Digital Lending, Enterprise Tech Provisioning","Personal Financial Management / Planning, Robo-Advisors, Digital Money Market / Fund  , Balance Sheet Consumer Lending, AI / ML / NLP",2018,2019,Private,India,India,201-500,,,
Active,Indifi Technologies,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,India,India,30,,,
Active,Indiegogo,Digital Capital Raising,Reward-Based Crowdfunding,2008,2008,Private,United Kingdom,United States,176,,,
Active,Indie Crowd Funder,Digital Capital Raising,Equity-Based Crowdfunding,,2015,Private,United States,United States,6,,,
Active,IndiaLends,Digital Lending,P2P / Marketplace Consumer Lending,2014,2015,Private,India,India,176,,,
Active,InCred,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Consumer Lending, Balance Sheet Property Lending",1996,2017,Private,India,India,1001-5000,,,
Active,Increase,Digital Payments,"Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Domestic-P2P)",2014,2014,Private,Argentina,Argentina,11-50,,,
Active,Incomlend,"WealthTech, Digital Lending","Digital Wealth Management, Invoice Trading",2016,2016,Private,Singapore,Singapore,33,,,
Active,Inclusivity Solutions,InsurTech,"Usage-Based Insurance, Parametric-Based Insurance, Digital Brokers or Agents",,2015,Private,South Africa,South Africa,11-50,,,
Active,INBONIS,Digital Lending,Balance Sheet Business Lending,2008,2009,Private,Spain,Spain,6,,,
Active,inafina.com,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Consumer Lending",2015,2015,Private,Indonesia,Indonesia,11-50,,,
Active,In-Solutions Global,"Digital Payments, Digital Identity","Digital Remittances (Domestic-P2P), Points of Access (PoS / mPoS / Online PoS), eMoney Issuers, Acquiring Services Providers for Merchants, Top-ups & Refills, Payment Gateways, Payment Aggregators, Fraud Prevention & Risk Management, Education and Training",2004,2004,Private,India,India,689,,,
Active,Impactory,Digital Capital Raising,Donation-Based Crowdfunding,2018,2018,Private,Austria,Austria,1-10,,,
Active,Impact Guru,Digital Capital Raising,Donation-Based Crowdfunding,2014,2014,Private,India,India,30,,,
Active,iMoney Group,WealthTech,Financial Comparison Sites,2012,2012,Private,Malaysia,Malaysia,51-200,,,
Active,Immuta,Enterprise Tech Provisioning,Cloud Computing,2014,2015,Private,United States,United States,201-500,,,
Active,Immovesting,Digital Capital Raising,Real Estate Crowdfunding,2015,2015,Private,France,France,6,,,
Active,Immorocks,Digital Capital Raising,Real Estate Crowdfunding,2013,2013,Private,Germany,Germany,,,,
Active,Immofunding,Digital Capital Raising,Real Estate Crowdfunding,2015,2010,Private,Austria,Austria,,,,
Active,ImaliPay,"Digital Savings, Digital Lending, Digital Payments","Digital Micro Saving Solutions, Customer Cash-Advance, Balance Sheet Consumer Lending, API Hubs for Payments",2020,2020,Private,Kenya,Kenya,11-50,,,
Active,ilumoni,WealthTech,Personal Financial Management / Planning,2019,2020,Private,United Kingdom,United Kingdom,1-10,,,
Active,ilingdai.com,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2014,Private,China,China,30,,,
Active,iKiwi,Digital Capital Raising,Equity-Based Crowdfunding,,2016,Private,Mexico,Argentina,6,,,
Active,IIRide Worldwide,"Digital Payments, Enterprise Tech Provisioning","Payment Gateways, Points of Access (PoS / mPoS / Online PoS), API Hubs for Payments, Payment Aggregators, Electronic Invoicing",2016,2017,Private,Australia,Australia,1-10,,,
Active,IIMMPACT,"Digital Payments, Enterprise Tech Provisioning","Top-ups & Refills, Payment Aggregators, Money Transfer (P2P / P2B / B2P / B2B), API Management, Data aggregation",2017,2018,Private,Malaysia,Malaysia,11-50,,,
Active,iGrow,Digital Lending,P2P / Marketplace Business Lending,,2014,Private,Indonesia,Indonesia,51-200,,,
Inactive,igot,"Digital Payments, Cryptoasset Exchange","Money Transfer (Cryptoasset), Retail Brokerage Services",2014,2014,Private,Australia,Australia,9,2016,,
Active,Igloo,"InsurTech, Enterprise Tech Provisioning","Claims & Risk Management Solutions, Usage-Based Insurance, IoT (including Telematics), On-Demand Insurance, API Management, Cloud Computing, AI / ML / NLP",2016,2016,Private,Singapore,Singapore,51-200,,,
Active,iFunding,Digital Capital Raising,Real Estate Crowdfunding,2013,2015,Private,United States,United States,30,,,
Active,iFunded,"Digital Lending, Digital Capital Raising","Debt-Based Securities, Real Estate Crowdfunding",2015,2016,Private,Germany,Germany,30,,,
Active,iFarmer,"Digital Capital Raising, Digital Lending","Revenue / Profit Share Crowdfunding, Merchant Cash-Advance",,2018,Private,Bangladesh,Bangladesh,51-200,,,
Active,ifarm360,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2020,2020,Private,Kenya,Kenya,1-10,,,
